vote_id,user_id,target_type,target_id,value,created_at
V0001307,U01787,comment,CM0000311,1,2024-01-09T07:49:59
V0011461,U01999,post,P002245,1,2024-01-09T09:19:37
V0010699,U00973,post,P002468,1,2024-01-09T13:19:08
V0010343,U02133,post,P001709,1,2024-01-09T13:54:38
V0003902,U02690,post,P001988,1,2024-01-09T14:24:05
V0003394,U02843,post,P000138,1,2024-01-09T15:05:53
V0007866,U02262,post,P001545,1,2024-01-09T15:13:58
V0010031,U01047,post,P002041,1,2024-01-09T15:49:48
V0002090,U00546,post,P001065,1,2024-01-09T17:56:04
V0003670,U02651,post,P000382,-1,2024-01-09T19:33:07
V0000046,U02379,post,P003114,1,2024-01-09T21:56:57
V0003412,U01310,post,P003228,1,2024-01-09T22:51:58
V0002946,U01218,post,P003611,1,2024-01-10T00:57:33
V0006159,U00947,post,P003219,1,2024-01-10T02:37:32
V0012659,U02277,post,P003625,-1,2024-01-10T03:40:30
V0000415,U02260,post,P000208,-1,2024-01-10T04:56:29
V0001137,U02674,comment,CM0004388,1,2024-01-10T07:40:18
V0006475,U01430,post,P002015,1,2024-01-10T07:45:37
V0007180,U00489,comment,CM0003392,-1,2024-01-10T08:05:02
V0007533,U00329,post,P000861,1,2024-01-10T08:15:32
V0009552,U00345,post,P002646,1,2024-01-10T09:17:58
V0000419,U02496,post,P002274,1,2024-01-10T12:15:23
V0006795,U00680,post,P002795,1,2024-01-10T17:16:03
V0005698,U02246,post,P001079,1,2024-01-10T18:19:01
V0005682,U02065,post,P001953,1,2024-01-10T18:32:10
V0004794,U02812,post,P000825,1,2024-01-10T18:41:05
V0003538,U00792,post,P003027,1,2024-01-10T20:26:45
V0000917,U01725,post,P000985,1,2024-01-10T22:32:16
V0006177,U00076,post,P001102,1,2024-01-11T01:47:17
V0000219,U00550,comment,CM0005532,1,2024-01-11T02:11:24
V0010961,U00986,comment,CM0004403,1,2024-01-11T03:04:27
V0008316,U00839,post,P002852,1,2024-01-11T03:16:06
V0005097,U02689,comment,CM0002901,-1,2024-01-11T03:35:48
V0004041,U01244,post,P001238,1,2024-01-11T03:48:30
V0012949,U00067,post,P000882,1,2024-01-11T03:55:30
V0007793,U02111,post,P002632,1,2024-01-11T04:29:24
V0002233,U01643,comment,CM0002802,1,2024-01-11T04:50:23
V0013222,U02146,post,P001879,-1,2024-01-11T05:29:36
V0009256,U01141,post,P002486,1,2024-01-11T06:48:44
V0001527,U00248,post,P003211,1,2024-01-11T07:44:57
V0001187,U01001,comment,CM0001040,1,2024-01-11T07:45:28
V0000997,U01586,comment,CM0003622,-1,2024-01-11T08:01:31
V0012205,U01760,post,P001425,1,2024-01-11T08:08:49
V0011666,U00670,post,P000677,1,2024-01-11T08:32:01
V0003802,U00903,comment,CM0004046,1,2024-01-11T08:48:27
V0012782,U02839,post,P003104,1,2024-01-11T09:06:51
V0009732,U01776,post,P000948,1,2024-01-11T09:51:01
V0009783,U00817,comment,CM0000779,1,2024-01-11T11:45:23
V0014402,U02618,post,P001100,1,2024-01-11T12:34:22
V0002489,U01544,comment,CM0002320,1,2024-01-11T12:49:42
V0013750,U01668,post,P001033,-1,2024-01-11T13:39:05
V0011459,U02522,post,P002270,1,2024-01-11T15:43:25
V0011414,U02533,post,P001100,1,2024-01-11T16:06:34
V0000575,U02409,post,P002424,-1,2024-01-11T20:49:30
V0010716,U00793,post,P003008,1,2024-01-11T21:12:15
V0007725,U00878,post,P002396,1,2024-01-11T21:14:03
V0009650,U00697,comment,CM0004521,1,2024-01-11T23:22:49
V0004685,U02104,post,P002916,1,2024-01-12T00:27:25
V0009860,U00999,comment,CM0003401,1,2024-01-12T03:00:00
V0012394,U00777,post,P003281,1,2024-01-12T04:40:19
V0011422,U01996,post,P002294,1,2024-01-12T06:48:44
V0006553,U00700,post,P000586,1,2024-01-12T07:44:34
V0012072,U00312,comment,CM0001083,-1,2024-01-12T08:14:34
V0005970,U02641,post,P000210,1,2024-01-12T09:47:55
V0002784,U02756,post,P002861,-1,2024-01-12T10:33:00
V0005953,U02236,comment,CM0006289,1,2024-01-12T11:05:38
V0010727,U00745,post,P002040,1,2024-01-12T11:30:15
V0010712,U01734,post,P001706,1,2024-01-12T13:00:01
V0008256,U01334,comment,CM0000746,1,2024-01-12T14:03:52
V0000982,U02976,post,P002357,1,2024-01-12T15:24:12
V0002445,U00526,post,P003209,-1,2024-01-12T15:35:50
V0006390,U01411,post,P000236,1,2024-01-12T16:04:55
V0002945,U00321,post,P003271,1,2024-01-12T17:12:59
V0006443,U02824,post,P003061,1,2024-01-12T17:19:30
V0013927,U00583,post,P002479,1,2024-01-12T17:29:02
V0014291,U01709,post,P002032,1,2024-01-12T18:25:51
V0007399,U02584,post,P001950,1,2024-01-12T19:30:49
V0003826,U01768,post,P001625,-1,2024-01-12T19:53:07
V0003555,U02155,comment,CM0000820,1,2024-01-12T20:00:29
V0000404,U00882,post,P003757,1,2024-01-12T21:02:16
V0014358,U01138,post,P000361,1,2024-01-13T01:42:09
V0010159,U01140,post,P003921,1,2024-01-13T03:08:27
V0006675,U01720,comment,CM0004611,1,2024-01-13T04:13:19
V0001007,U01154,post,P000777,1,2024-01-13T04:41:39
V0008171,U02734,post,P002018,1,2024-01-13T05:01:03
V0005814,U00425,post,P000296,-1,2024-01-13T05:26:51
V0012822,U01626,post,P000308,1,2024-01-13T06:32:19
V0007782,U02459,post,P002569,1,2024-01-13T07:08:15
V0012111,U01858,post,P002233,1,2024-01-13T07:09:17
V0000775,U00178,comment,CM0000483,1,2024-01-13T07:45:54
V0007988,U01669,post,P003754,1,2024-01-13T08:09:42
V0012882,U00054,post,P003621,1,2024-01-13T11:28:26
V0008967,U00322,comment,CM0004597,1,2024-01-13T12:11:04
V0008716,U02883,post,P002168,1,2024-01-13T12:44:10
V0006154,U01791,comment,CM0004565,-1,2024-01-13T13:40:44
V0013125,U02294,post,P003127,1,2024-01-13T15:57:45
V0003158,U01646,post,P002106,1,2024-01-13T20:42:52
V0002265,U00822,post,P001097,1,2024-01-13T21:14:22
V0006351,U01762,post,P002167,1,2024-01-13T22:15:42
V0003551,U01308,post,P003464,1,2024-01-14T01:01:55
V0004173,U02994,post,P000653,1,2024-01-14T01:39:14
V0003167,U02010,post,P002837,1,2024-01-14T04:32:42
V0014370,U02130,comment,CM0004366,-1,2024-01-14T05:07:40
V0009820,U02496,post,P000336,1,2024-01-14T05:45:46
V0007962,U01311,post,P002358,1,2024-01-14T06:18:50
V0006522,U02058,post,P001759,1,2024-01-14T07:55:44
V0006665,U02017,comment,CM0004540,1,2024-01-14T08:27:39
V0006695,U02135,post,P003420,1,2024-01-14T16:58:33
V0003436,U02836,comment,CM0006315,1,2024-01-14T19:27:45
V0007429,U01829,comment,CM0000869,1,2024-01-14T20:05:18
V0002939,U02007,comment,CM0005591,1,2024-01-14T20:58:11
V0014374,U01167,post,P002036,1,2024-01-14T21:09:58
V0007116,U02277,post,P002832,-1,2024-01-14T21:22:18
V0011495,U00101,post,P001824,1,2024-01-14T23:39:26
V0012037,U00821,post,P001757,-1,2024-01-14T23:46:38
V0002984,U02417,post,P000928,1,2024-01-15T01:57:19
V0001003,U01358,post,P000908,1,2024-01-15T03:47:35
V0013652,U02351,comment,CM0001713,1,2024-01-15T04:31:55
V0013531,U00597,comment,CM0004303,1,2024-01-15T09:30:55
V0011554,U01034,post,P000944,1,2024-01-15T10:02:13
V0014633,U02274,post,P001708,1,2024-01-15T10:15:45
V0012109,U01218,post,P003392,1,2024-01-15T11:18:41
V0009321,U00905,comment,CM0006038,1,2024-01-15T12:25:28
V0006343,U00859,comment,CM0004562,1,2024-01-15T14:09:01
V0005918,U01847,post,P001041,1,2024-01-15T14:33:27
V0014585,U02484,post,P000815,1,2024-01-15T14:46:46
V0010302,U02152,post,P001806,1,2024-01-15T15:03:42
V0011041,U00448,post,P003037,1,2024-01-15T15:29:43
V0014679,U02374,post,P002471,1,2024-01-15T15:37:12
V0010540,U00918,post,P002356,1,2024-01-15T15:49:16
V0005782,U01580,post,P002486,1,2024-01-15T17:19:11
V0007280,U01271,comment,CM0005888,1,2024-01-15T19:39:49
V0001607,U01575,comment,CM0002179,1,2024-01-15T19:43:50
V0009275,U01562,post,P000796,1,2024-01-15T20:12:15
V0012528,U00548,post,P000047,1,2024-01-15T21:10:08
V0011231,U00203,comment,CM0000206,-1,2024-01-15T23:45:55
V0010197,U01996,post,P002518,1,2024-01-16T00:09:49
V0008161,U01765,comment,CM0005159,1,2024-01-16T00:17:29
V0000603,U01994,comment,CM0000239,1,2024-01-16T03:07:18
V0003283,U01238,post,P000419,1,2024-01-16T04:02:20
V0001747,U00794,post,P002800,1,2024-01-16T05:03:33
V0005436,U02796,comment,CM0001224,1,2024-01-16T05:36:07
V0004106,U00036,comment,CM0006079,1,2024-01-16T05:49:13
V0001556,U02189,post,P003846,1,2024-01-16T08:38:48
V0012329,U01719,post,P001080,1,2024-01-16T10:09:05
V0011220,U02889,post,P000177,1,2024-01-16T11:31:37
V0007114,U02244,post,P001893,1,2024-01-16T17:14:34
V0012859,U02523,post,P000012,1,2024-01-16T17:34:42
V0004853,U01188,post,P001381,-1,2024-01-16T17:38:17
V0006986,U00286,comment,CM0006239,1,2024-01-16T18:20:37
V0014346,U01913,post,P000841,1,2024-01-16T18:47:44
V0011994,U02306,comment,CM0001319,1,2024-01-16T21:07:32
V0004346,U01906,post,P001544,1,2024-01-16T21:21:02
V0013288,U01567,post,P002620,1,2024-01-16T22:12:34
V0007820,U00806,post,P002227,1,2024-01-17T00:28:32
V0007309,U01493,post,P002598,1,2024-01-17T02:22:02
V0003309,U01870,comment,CM0004112,1,2024-01-17T02:29:30
V0006812,U00542,comment,CM0002501,1,2024-01-17T03:17:22
V0002047,U02039,comment,CM0002398,1,2024-01-17T03:55:08
V0005910,U02721,comment,CM0001142,1,2024-01-17T07:00:22
V0007633,U00101,post,P002488,-1,2024-01-17T07:03:35
V0000149,U02008,post,P003240,1,2024-01-17T08:34:54
V0005930,U00676,comment,CM0000676,1,2024-01-17T08:42:51
V0004282,U02361,post,P000162,1,2024-01-17T09:13:16
V0008544,U01544,comment,CM0005971,1,2024-01-17T09:49:56
V0011816,U00071,post,P002089,1,2024-01-17T10:21:00
V0009782,U00533,post,P001383,1,2024-01-17T10:56:56
V0013499,U01001,post,P003568,1,2024-01-17T12:19:50
V0011965,U00424,post,P003008,1,2024-01-17T13:07:51
V0009739,U02519,post,P002133,1,2024-01-17T13:48:23
V0010793,U01660,post,P000891,1,2024-01-17T13:59:40
V0002826,U02920,post,P002545,1,2024-01-17T14:46:52
V0014586,U01127,post,P000784,1,2024-01-17T16:41:56
V0002013,U01918,post,P003053,1,2024-01-17T17:00:05
V0013433,U00423,post,P002099,1,2024-01-17T18:25:41
V0005729,U02840,post,P003201,1,2024-01-17T20:22:53
V0005929,U01256,comment,CM0002915,1,2024-01-17T22:05:51
V0003455,U02497,post,P000794,1,2024-01-17T23:10:06
V0010077,U01618,post,P003797,-1,2024-01-18T00:57:36
V0008179,U02142,post,P000165,1,2024-01-18T02:15:40
V0004118,U01882,comment,CM0003824,1,2024-01-18T03:57:33
V0012299,U00874,comment,CM0006499,1,2024-01-18T07:22:21
V0002896,U02237,comment,CM0001619,1,2024-01-18T08:18:10
V0009580,U02785,post,P003365,1,2024-01-18T09:10:15
V0009638,U00950,post,P003335,-1,2024-01-18T10:45:55
V0000131,U01213,post,P002265,1,2024-01-18T11:31:21
V0006084,U02184,comment,CM0004851,1,2024-01-18T11:39:50
V0005433,U02075,comment,CM0002450,1,2024-01-18T15:30:11
V0009274,U01316,comment,CM0002787,-1,2024-01-18T16:33:18
V0001321,U00273,post,P002896,-1,2024-01-18T17:57:28
V0009743,U01175,post,P002935,1,2024-01-18T18:29:07
V0012848,U00437,post,P001632,1,2024-01-18T19:45:08
V0007808,U01619,comment,CM0001830,1,2024-01-18T19:49:51
V0006895,U02510,comment,CM0006370,-1,2024-01-18T19:58:18
V0012713,U01288,post,P001886,-1,2024-01-18T21:31:57
V0008070,U01497,comment,CM0003370,-1,2024-01-18T22:04:27
V0004902,U00513,comment,CM0001563,-1,2024-01-18T23:16:09
V0006174,U00141,post,P001461,1,2024-01-18T23:22:18
V0003024,U02654,post,P001819,1,2024-01-19T00:10:56
V0012736,U01816,post,P000237,1,2024-01-19T00:21:16
V0010907,U02946,post,P001402,1,2024-01-19T02:00:49
V0013673,U00415,post,P000926,1,2024-01-19T02:04:42
V0012844,U01257,post,P000368,1,2024-01-19T03:42:00
V0013142,U00653,post,P002213,1,2024-01-19T05:03:19
V0013420,U02980,comment,CM0003071,1,2024-01-19T07:16:22
V0011679,U00955,post,P001992,-1,2024-01-19T07:22:32
V0005269,U00699,post,P000256,1,2024-01-19T07:31:01
V0011576,U01602,post,P000033,1,2024-01-19T07:42:58
V0006459,U00019,post,P002945,1,2024-01-19T08:01:28
V0011567,U01138,comment,CM0004531,1,2024-01-19T10:04:33
V0010544,U02503,post,P003839,-1,2024-01-19T10:46:37
V0005901,U02664,comment,CM0003199,1,2024-01-19T11:34:37
V0002876,U01399,post,P002603,1,2024-01-19T12:04:12
V0001331,U01327,post,P000481,-1,2024-01-19T13:48:14
V0002960,U00582,post,P003063,1,2024-01-19T15:38:22
V0008603,U01107,post,P000870,1,2024-01-19T16:44:10
V0002690,U00629,post,P003874,1,2024-01-19T17:52:40
V0012155,U01909,post,P000801,1,2024-01-19T18:54:10
V0006826,U00726,post,P000045,1,2024-01-19T19:49:52
V0003626,U01455,post,P001435,1,2024-01-19T20:17:07
V0000527,U00341,post,P000314,1,2024-01-19T20:27:44
V0000272,U00828,post,P003603,1,2024-01-19T20:44:27
V0002595,U01215,post,P002587,1,2024-01-19T20:48:39
V0001842,U01774,post,P002035,1,2024-01-20T00:21:46
V0002234,U02576,comment,CM0003520,1,2024-01-20T00:35:15
V0006975,U00515,post,P001225,1,2024-01-20T00:59:39
V0013628,U02573,post,P002382,1,2024-01-20T01:18:23
V0011959,U02778,comment,CM0001763,1,2024-01-20T02:58:13
V0003270,U00031,post,P001845,1,2024-01-20T03:06:55
V0012334,U00612,post,P001253,1,2024-01-20T03:21:39
V0011357,U00198,post,P001096,1,2024-01-20T05:46:24
V0001921,U01799,post,P003448,1,2024-01-20T06:50:21
V0006173,U02323,post,P002922,1,2024-01-20T06:50:37
V0013057,U02721,post,P000377,1,2024-01-20T08:06:03
V0006362,U02161,comment,CM0000857,1,2024-01-20T09:57:19
V0005036,U01420,post,P001950,1,2024-01-20T10:32:21
V0013090,U01698,post,P001957,1,2024-01-20T10:48:05
V0009587,U00790,comment,CM0004994,1,2024-01-20T13:04:13
V0004400,U01789,post,P003907,1,2024-01-20T13:43:03
V0000412,U00978,post,P000288,1,2024-01-20T13:58:01
V0000900,U01315,post,P000769,1,2024-01-20T15:42:02
V0000022,U00971,post,P000520,1,2024-01-20T15:50:53
V0010897,U02339,comment,CM0003597,1,2024-01-20T17:56:13
V0000053,U01966,post,P002298,-1,2024-01-20T18:20:38
V0010738,U02657,post,P003326,1,2024-01-20T18:42:30
V0001095,U01933,post,P003008,-1,2024-01-20T21:00:24
V0009394,U01372,comment,CM0003506,1,2024-01-20T22:03:07
V0005022,U02644,post,P003631,1,2024-01-20T22:50:43
V0009864,U01872,post,P001530,1,2024-01-20T23:08:38
V0011256,U02397,post,P003245,1,2024-01-21T03:36:59
V0012537,U00779,post,P002417,1,2024-01-21T03:43:20
V0000496,U00178,post,P001669,1,2024-01-21T04:05:35
V0001256,U00119,post,P003588,1,2024-01-21T04:47:28
V0013134,U00761,post,P002615,1,2024-01-21T05:23:42
V0014327,U01406,comment,CM0002097,1,2024-01-21T05:27:05
V0001093,U01087,post,P001431,1,2024-01-21T07:08:54
V0012002,U02161,post,P000428,1,2024-01-21T08:05:11
V0002178,U00497,post,P000179,1,2024-01-21T08:51:55
V0003794,U01588,post,P003456,1,2024-01-21T09:32:27
