event_id,event_type,user_id,session_id,entity_type,entity_id,props,timestamp
E0000018,view,U02056,S04495,comment,CM0001124,"{""device"": ""mobile"", ""duration_sec"": 27}",2024-01-23T21:33:54
E0000019,view,U02395,S00272,post,P001561,"{""device"": ""desktop"", ""duration_sec"": 518}",2025-05-18T08:50:06
E0000020,comment,U01042,S03789,post,P002781,"{""device"": ""tablet"", ""duration_sec"": 149}",2024-07-13T09:48:27
E0000021,view,U00796,S00144,post,P001947,"{""device"": ""desktop"", ""duration_sec"": 555}",2025-03-06T16:06:05
E0000022,view,U01353,S04543,post,P002457,"{""device"": ""tablet"", ""duration_sec"": 555}",2024-04-17T18:55:45
E0000023,click,U02779,S04114,post,P000276,"{""device"": ""desktop"", ""duration_sec"": 248}",2025-07-06T23:19:47
E0000024,view,U02155,S01924,post,P001085,"{""device"": ""tablet"", ""duration_sec"": 521}",2024-06-02T18:13:51
E0000025,view,U01807,S03400,post,P003887,"{""device"": ""desktop"", ""duration_sec"": 489}",2024-05-03T00:20:18
E0000026,join,U00145,S03419,comment,CM0006012,"{""device"": ""tablet"", ""duration_sec"": 333}",2025-02-13T10:25:21
E0000027,view,U01080,S02420,post,P002944,"{""device"": ""mobile"", ""duration_sec"": 411}",2024-02-18T23:09:35
E0000028,vote,U01186,S04199,post,P000409,"{""device"": ""mobile"", ""duration_sec"": 420}",2025-03-26T22:27:09
E0000029,vote,U02785,S01711,comment,CM0005390,"{""device"": ""desktop"", ""duration_sec"": 174}",2025-01-19T06:53:34
E0000030,vote,U00481,S04856,comment,CM0000415,"{""device"": ""desktop"", ""duration_sec"": 465}",2024-11-09T11:37:51
E0000031,view,U02881,S00718,comment,CM0000898,"{""device"": ""desktop"", ""duration_sec"": 370}",2024-05-06T01:28:31
E0000032,vote,U02354,S04065,post,P001422,"{""device"": ""mobile"", ""duration_sec"": 354}",2025-04-01T07:19:02
E0000033,click,U02623,S02606,post,P000826,"{""device"": ""desktop"", ""duration_sec"": 298}",2025-08-28T15:25:24
E0000034,view,U00501,S04133,post,P003415,"{""device"": ""desktop"", ""duration_sec"": 293}",2025-04-30T10:52:41
E0000035,view,U02306,S01289,post,P003057,"{""device"": ""tablet"", ""duration_sec"": 365}",2024-12-12T23:48:46
E0000036,view,U01019,S01100,post,P002465,"{""device"": ""desktop"", ""duration_sec"": 280}",2024-05-25T06:27:31
E0000037,view,U00773,S01947,post,P003121,"{""device"": ""desktop"", ""duration_sec"": 554}",2024-06-08T14:13:39
E0000038,view,U00969,S04241,comment,CM0000519,"{""device"": ""desktop"", ""duration_sec"": 305}",2024-03-18T09:18:12
E0000039,click,U00192,S04603,post,P000738,"{""device"": ""desktop"", ""duration_sec"": 181}",2024-01-19T07:08:16
E0000040,view,U00567,S03878,post,P003476,"{""device"": ""tablet"", ""duration_sec"": 583}",2025-05-09T11:47:47
E0000041,view,U01376,S02838,post,P003400,"{""device"": ""tablet"", ""duration_sec"": 271}",2024-11-26T16:37:57
E0000042,view,U02357,S00438,post,P000236,"{""device"": ""tablet"", ""duration_sec"": 31}",2025-04-12T12:38:49
E0000043,view,U02017,S04384,community,C107,"{""device"": ""mobile"", ""duration_sec"": 517}",2025-01-16T22:07:37
E0000044,vote,U00734,S02318,post,P003115,"{""device"": ""mobile"", ""duration_sec"": 504}",2024-05-09T16:02:53
E0000045,view,U02885,S02570,comment,CM0001595,"{""device"": ""mobile"", ""duration_sec"": 422}",2024-02-02T06:31:53
E0000046,comment,U02227,S03810,post,P000547,"{""device"": ""tablet"", ""duration_sec"": 449}",2024-04-25T07:14:52
E0000047,comment,U02732,S00803,community,C071,"{""device"": ""tablet"", ""duration_sec"": 451}",2024-12-30T15:08:44
E0000048,comment,U01322,S02618,community,C001,"{""device"": ""desktop"", ""duration_sec"": 320}",2024-02-20T06:56:55
E0000049,share,U02092,S01245,comment,CM0005961,"{""device"": ""mobile"", ""duration_sec"": 219}",2024-01-24T02:30:58
E0000050,view,U01605,S00269,post,P003036,"{""device"": ""tablet"", ""duration_sec"": 253}",2024-05-16T19:41:12
E0000051,vote,U02501,S01611,post,P002493,"{""device"": ""desktop"", ""duration_sec"": 373}",2025-03-22T01:04:20
E0000052,view,U01710,S00011,post,P001091,"{""device"": ""mobile"", ""duration_sec"": 316}",2024-09-23T23:10:26
E0000053,vote,U00078,S01027,community,C081,"{""device"": ""mobile"", ""duration_sec"": 326}",2024-02-12T16:02:30
E0000054,view,U01601,S03540,post,P002781,"{""device"": ""mobile"", ""duration_sec"": 579}",2024-12-04T03:35:50
E0000055,view,U02349,S01105,post,P001392,"{""device"": ""mobile"", ""duration_sec"": 430}",2025-04-26T21:21:47
E0000056,click,U00439,S02910,post,P003792,"{""device"": ""mobile"", ""duration_sec"": 69}",2025-05-19T06:28:10
E0000057,vote,U01069,S02509,community,C031,"{""device"": ""mobile"", ""duration_sec"": 178}",2024-09-07T13:20:57
E0000058,view,U02287,S04645,post,P000830,"{""device"": ""mobile"", ""duration_sec"": 509}",2024-10-24T16:12:31
E0000059,comment,U00047,S03357,post,P002768,"{""device"": ""desktop"", ""duration_sec"": 483}",2025-04-13T02:02:12
E0000060,click,U01223,S03627,post,P000054,"{""device"": ""tablet"", ""duration_sec"": 8}",2024-12-26T11:26:18
E0000061,comment,U00222,S04703,comment,CM0000780,"{""device"": ""desktop"", ""duration_sec"": 140}",2024-07-26T00:20:33
E0000062,view,U01392,S00290,community,C013,"{""device"": ""mobile"", ""duration_sec"": 233}",2025-06-01T03:22:30
E0000063,click,U01806,S04372,post,P000870,"{""device"": ""desktop"", ""duration_sec"": 97}",2025-05-17T17:14:41
E0000064,vote,U00627,S00276,comment,CM0003490,"{""device"": ""desktop"", ""duration_sec"": 222}",2024-08-16T02:22:42
E0000065,vote,U00984,S03162,comment,CM0001105,"{""device"": ""desktop"", ""duration_sec"": 130}",2024-10-03T02:18:36
E0000066,share,U01683,S04775,post,P002987,"{""device"": ""desktop"", ""duration_sec"": 434}",2025-09-30T12:32:42
E0000067,view,U00827,S04618,post,P002191,"{""device"": ""desktop"", ""duration_sec"": 430}",2024-11-12T11:25:13
E0000068,join,U02776,S01682,post,P002554,"{""device"": ""tablet"", ""duration_sec"": 231}",2025-06-17T06:53:41
E0000069,vote,U01398,S04332,comment,CM0006320,"{""device"": ""tablet"", ""duration_sec"": 341}",2024-10-15T11:38:47
E0000070,comment,U02896,S04288,comment,CM0003107,"{""device"": ""tablet"", ""duration_sec"": 300}",2025-05-15T10:32:22
E0000071,vote,U00335,S00955,post,P002740,"{""device"": ""desktop"", ""duration_sec"": 419}",2025-10-20T00:08:58
E0000072,vote,U01653,S03377,post,P002362,"{""device"": ""mobile"", ""duration_sec"": 296}",2025-05-13T09:51:50
E0000073,view,U01908,S04326,comment,CM0000432,"{""device"": ""tablet"", ""duration_sec"": 526}",2025-05-15T10:33:47
E0000074,vote,U01935,S03614,post,P002159,"{""device"": ""mobile"", ""duration_sec"": 66}",2024-08-23T05:48:35
E0000075,click,U01645,S00614,post,P003341,"{""device"": ""mobile"", ""duration_sec"": 330}",2025-04-14T14:32:47
E0000076,view,U02546,S02274,post,P001108,"{""device"": ""desktop"", ""duration_sec"": 67}",2024-11-05T18:25:41
E0000077,vote,U00942,S02899,post,P002626,"{""device"": ""mobile"", ""duration_sec"": 256}",2024-03-28T18:14:07
E0000078,view,U00028,S01086,post,P003981,"{""device"": ""mobile"", ""duration_sec"": 314}",2024-07-23T12:33:32
E0000079,view,U00287,S03345,post,P000594,"{""device"": ""mobile"", ""duration_sec"": 32}",2024-05-23T02:19:04
E0000080,view,U01380,S03977,post,P000826,"{""device"": ""desktop"", ""duration_sec"": 115}",2025-03-10T23:45:18
E0000081,view,U01479,S02009,post,P002895,"{""device"": ""tablet"", ""duration_sec"": 465}",2025-01-10T09:17:03
E0000082,click,U01948,S03622,post,P002702,"{""device"": ""mobile"", ""duration_sec"": 542}",2025-06-19T20:36:13
E0000083,view,U00626,S02111,post,P000957,"{""device"": ""tablet"", ""duration_sec"": 108}",2024-05-24T07:51:31
E0000084,vote,U00356,S02721,post,P002199,"{""device"": ""mobile"", ""duration_sec"": 107}",2025-07-12T06:28:30
E0000085,view,U00503,S01692,post,P001757,"{""device"": ""mobile"", ""duration_sec"": 467}",2025-05-08T06:14:37
E0000086,view,U00287,S00233,post,P003956,"{""device"": ""desktop"", ""duration_sec"": 205}",2024-07-23T19:17:28
E0000087,share,U02546,S02780,post,P000004,"{""device"": ""tablet"", ""duration_sec"": 216}",2025-01-25T20:27:14
E0000088,click,U02154,S01081,post,P003707,"{""device"": ""tablet"", ""duration_sec"": 17}",2024-08-05T01:39:49
E0000089,view,U01896,S03766,comment,CM0003256,"{""device"": ""tablet"", ""duration_sec"": 178}",2024-06-05T03:50:17
E0000090,vote,U02593,S00532,comment,CM0006920,"{""device"": ""tablet"", ""duration_sec"": 44}",2024-05-02T10:01:22
E0000091,view,U01627,S02817,post,P002212,"{""device"": ""desktop"", ""duration_sec"": 7}",2024-05-08T17:30:07
E0000092,vote,U02493,S04593,post,P002591,"{""device"": ""mobile"", ""duration_sec"": 1}",2024-11-29T22:25:20
E0000093,click,U01160,S00110,post,P002116,"{""device"": ""mobile"", ""duration_sec"": 127}",2024-04-16T06:24:23
E0000094,view,U01430,S01709,post,P001860,"{""device"": ""mobile"", ""duration_sec"": 14}",2024-08-17T10:47:30
E0000095,view,U02508,S04850,post,P000226,"{""device"": ""mobile"", ""duration_sec"": 532}",2025-09-03T07:27:50
E0000096,comment,U01853,S03651,post,P001438,"{""device"": ""mobile"", ""duration_sec"": 68}",2025-07-09T04:27:12
E0000097,view,U02631,S00983,post,P000796,"{""device"": ""mobile"", ""duration_sec"": 578}",2025-04-24T19:12:11
E0000098,view,U00875,S00401,post,P003030,"{""device"": ""mobile"", ""duration_sec"": 325}",2025-02-18T12:14:57
E0000099,join,U02522,S00538,post,P002822,"{""device"": ""mobile"", ""duration_sec"": 296}",2024-02-14T10:06:23
E0000100,view,U02434,S01619,comment,CM0000666,"{""device"": ""desktop"", ""duration_sec"": 35}",2025-05-10T07:30:57
E0000101,click,U00248,S02695,post,P003876,"{""device"": ""mobile"", ""duration_sec"": 49}",2024-03-10T20:18:39
E0000102,view,U01118,S02156,post,P000996,"{""device"": ""tablet"", ""duration_sec"": 242}",2025-03-12T17:05:01
E0000103,join,U01809,S00661,post,P002313,"{""device"": ""tablet"", ""duration_sec"": 446}",2025-08-07T02:45:00
E0000104,view,U01711,S00261,community,C085,"{""device"": ""mobile"", ""duration_sec"": 30}",2025-01-08T23:57:17
E0000105,view,U00289,S03795,post,P001522,"{""device"": ""mobile"", ""duration_sec"": 480}",2024-12-05T10:22:55
E0000106,click,U02553,S01080,post,P001922,"{""device"": ""tablet"", ""duration_sec"": 34}",2025-10-18T13:55:41
E0000107,comment,U02211,S00860,post,P002927,"{""device"": ""tablet"", ""duration_sec"": 30}",2025-01-01T21:18:03
E0000108,click,U00353,S00331,post,P000186,"{""device"": ""tablet"", ""duration_sec"": 380}",2025-05-17T07:40:16
E0000109,view,U02415,S01417,community,C058,"{""device"": ""tablet"", ""duration_sec"": 142}",2024-08-27T11:07:08
E0000110,share,U00273,S02581,post,P002030,"{""device"": ""tablet"", ""duration_sec"": 162}",2025-04-18T06:09:45
E0000111,view,U00457,S03703,post,P000447,"{""device"": ""mobile"", ""duration_sec"": 245}",2024-10-14T09:50:16
E0000112,view,U01035,S00236,post,P003974,"{""device"": ""desktop"", ""duration_sec"": 185}",2024-12-14T06:28:35
E0000113,view,U00273,S02568,comment,CM0004247,"{""device"": ""mobile"", ""duration_sec"": 287}",2024-05-04T15:01:55
E0000114,vote,U00282,S00635,post,P003462,"{""device"": ""tablet"", ""duration_sec"": 595}",2024-04-05T10:27:49
E0000115,view,U00211,S00977,post,P003413,"{""device"": ""desktop"", ""duration_sec"": 428}",2024-05-03T23:45:06
E0000116,click,U00770,S04398,community,C038,"{""device"": ""tablet"", ""duration_sec"": 245}",2025-02-17T03:05:03
E0000117,share,U00247,S01532,post,P000272,"{""device"": ""tablet"", ""duration_sec"": 216}",2025-08-06T08:23:18
E0000118,vote,U02089,S04779,post,P001297,"{""device"": ""desktop"", ""duration_sec"": 562}",2024-05-05T13:12:02
E0000119,view,U00917,S00587,comment,CM0002539,"{""device"": ""desktop"", ""duration_sec"": 104}",2024-01-31T01:00:16
E0000120,vote,U01757,S00498,post,P001594,"{""device"": ""mobile"", ""duration_sec"": 105}",2024-01-18T05:31:55
E0000121,view,U02168,S03917,post,P001129,"{""device"": ""desktop"", ""duration_sec"": 529}",2025-04-04T23:45:51
E0000122,comment,U01533,S02854,community,C114,"{""device"": ""tablet"", ""duration_sec"": 532}",2024-10-14T03:47:17
E0000123,view,U01116,S03965,comment,CM0000134,"{""device"": ""desktop"", ""duration_sec"": 519}",2025-07-26T14:17:59
E0000124,click,U01821,S02979,post,P000272,"{""device"": ""desktop"", ""duration_sec"": 44}",2025-01-18T03:09:01
E0000125,view,U02235,S02490,post,P002737,"{""device"": ""mobile"", ""duration_sec"": 553}",2024-12-31T01:30:06
E0000126,click,U00003,S03260,post,P002070,"{""device"": ""desktop"", ""duration_sec"": 384}",2025-04-13T21:32:35
E0000127,comment,U01264,S04649,post,P000152,"{""device"": ""tablet"", ""duration_sec"": 251}",2024-12-31T08:52:35
E0000128,click,U02552,S04413,comment,CM0005493,"{""device"": ""tablet"", ""duration_sec"": 345}",2025-10-27T07:39:21
E0000129,vote,U02393,S02038,comment,CM0005877,"{""device"": ""desktop"", ""duration_sec"": 134}",2025-10-19T09:34:34
E0000130,view,U01023,S00633,post,P003771,"{""device"": ""mobile"", ""duration_sec"": 477}",2024-08-30T07:25:10
E0000131,view,U02064,S00129,post,P000494,"{""device"": ""mobile"", ""duration_sec"": 376}",2024-02-04T22:38:08
E0000132,view,U01702,S01278,post,P002284,"{""device"": ""desktop"", ""duration_sec"": 352}",2024-09-11T16:54:34
E0000133,join,U02485,S02984,post,P002326,"{""device"": ""desktop"", ""duration_sec"": 113}",2025-07-11T12:54:14
E0000134,view,U02930,S00694,post,P002229,"{""device"": ""desktop"", ""duration_sec"": 382}",2025-08-17T06:15:43
E0000135,view,U01254,S00929,post,P001606,"{""device"": ""mobile"", ""duration_sec"": 209}",2025-03-09T10:19:35
E0000136,comment,U01060,S02611,comment,CM0002953,"{""device"": ""tablet"", ""duration_sec"": 138}",2024-01-26T16:31:50
E0000137,view,U00226,S02474,post,P001894,"{""device"": ""desktop"", ""duration_sec"": 260}",2024-03-01T04:26:56
E0000138,click,U01757,S03095,post,P000718,"{""device"": ""desktop"", ""duration_sec"": 389}",2025-01-01T12:15:43
E0000139,vote,U01312,S00656,post,P003130,"{""device"": ""mobile"", ""duration_sec"": 264}",2024-12-07T08:09:05
E0000140,share,U01603,S02032,post,P001594,"{""device"": ""tablet"", ""duration_sec"": 399}",2025-01-21T05:15:57
E0000141,join,U02989,S02581,comment,CM0001165,"{""device"": ""mobile"", ""duration_sec"": 356}",2024-01-31T22:22:57
E0000142,view,U00803,S00431,post,P002001,"{""device"": ""mobile"", ""duration_sec"": 533}",2024-05-06T22:29:00
E0000143,click,U00362,S04561,post,P002903,"{""device"": ""mobile"", ""duration_sec"": 255}",2025-01-23T20:35:34
E0000144,view,U02015,S04994,comment,CM0005394,"{""device"": ""tablet"", ""duration_sec"": 357}",2025-03-01T14:13:09
E0000145,comment,U00861,S03951,post,P003632,"{""device"": ""tablet"", ""duration_sec"": 242}",2025-03-25T21:27:49
E0000146,vote,U01764,S00530,post,P001161,"{""device"": ""tablet"", ""duration_sec"": 30}",2024-04-09T08:38:56
E0000147,comment,U00946,S04295,post,P003013,"{""device"": ""mobile"", ""duration_sec"": 461}",2024-04-11T16:08:02
E0000148,click,U02658,S03595,post,P003597,"{""device"": ""desktop"", ""duration_sec"": 284}",2025-06-23T10:37:41
E0000149,view,U02634,S03684,comment,CM0006335,"{""device"": ""desktop"", ""duration_sec"": 412}",2024-02-07T02:07:17
E0000150,view,U02667,S00642,community,C108,"{""device"": ""tablet"", ""duration_sec"": 125}",2024-10-20T07:19:44
E0000151,comment,U00120,S02733,post,P000051,"{""device"": ""tablet"", ""duration_sec"": 416}",2025-08-01T11:48:26
E0000152,share,U01238,S01288,community,C002,"{""device"": ""tablet"", ""duration_sec"": 112}",2024-12-03T13:10:02
E0000153,view,U01147,S02288,post,P000391,"{""device"": ""mobile"", ""duration_sec"": 317}",2024-05-01T14:50:33
E0000154,click,U02001,S04295,post,P002138,"{""device"": ""desktop"", ""duration_sec"": 254}",2025-01-09T17:22:01
E0000155,click,U00894,S03506,community,C026,"{""device"": ""mobile"", ""duration_sec"": 10}",2024-01-26T04:33:24
E0000156,vote,U01358,S03694,community,C167,"{""device"": ""mobile"", ""duration_sec"": 108}",2025-07-28T20:17:48
E0000157,comment,U00189,S03886,post,P000469,"{""device"": ""tablet"", ""duration_sec"": 389}",2025-10-30T07:49:29
E0000158,view,U00900,S02787,post,P000643,"{""device"": ""tablet"", ""duration_sec"": 269}",2025-08-29T16:00:49
E0000159,vote,U01748,S01425,comment,CM0001919,"{""device"": ""tablet"", ""duration_sec"": 562}",2024-01-04T21:52:18
E0000160,comment,U01482,S00160,post,P003546,"{""device"": ""desktop"", ""duration_sec"": 99}",2024-04-10T11:51:57
E0000161,view,U01978,S00338,post,P000094,"{""device"": ""tablet"", ""duration_sec"": 362}",2025-10-22T14:03:59
E0000162,vote,U01351,S00847,comment,CM0005974,"{""device"": ""tablet"", ""duration_sec"": 418}",2025-08-15T03:16:41
E0000163,view,U01537,S01114,post,P000823,"{""device"": ""mobile"", ""duration_sec"": 429}",2024-11-05T12:37:40
E0000164,view,U02330,S02228,post,P002197,"{""device"": ""desktop"", ""duration_sec"": 87}",2025-06-23T02:43:11
E0000165,join,U01703,S04669,post,P002075,"{""device"": ""desktop"", ""duration_sec"": 242}",2024-05-13T21:57:44
E0000166,comment,U02606,S03667,post,P003789,"{""device"": ""tablet"", ""duration_sec"": 47}",2024-03-17T08:54:41
E0000167,vote,U02523,S01105,post,P000298,"{""device"": ""mobile"", ""duration_sec"": 481}",2025-04-01T19:37:32
E0000168,comment,U00566,S00453,post,P000338,"{""device"": ""desktop"", ""duration_sec"": 340}",2025-01-08T19:52:34
E0000169,view,U01473,S00862,post,P003301,"{""device"": ""mobile"", ""duration_sec"": 76}",2024-08-18T02:44:12
E0000170,view,U00473,S00607,post,P002908,"{""device"": ""mobile"", ""duration_sec"": 224}",2025-03-29T09:16:34
E0000171,view,U02580,S02559,post,P001733,"{""device"": ""desktop"", ""duration_sec"": 295}",2025-01-31T11:15:55
E0000172,vote,U00054,S03966,comment,CM0001324,"{""device"": ""tablet"", ""duration_sec"": 269}",2024-09-01T15:21:59
E0000173,click,U01206,S01719,comment,CM0002918,"{""device"": ""mobile"", ""duration_sec"": 551}",2024-12-29T22:06:14
E0000174,comment,U01445,S00091,post,P001165,"{""device"": ""mobile"", ""duration_sec"": 559}",2024-02-22T11:41:41
E0000175,share,U00121,S04895,post,P003464,"{""device"": ""tablet"", ""duration_sec"": 501}",2024-09-15T03:49:37
E0000176,click,U02155,S02562,community,C096,"{""device"": ""desktop"", ""duration_sec"": 26}",2024-07-14T11:57:25
E0000177,view,U00590,S04535,post,P001042,"{""device"": ""desktop"", ""duration_sec"": 410}",2024-02-09T22:21:22
E0000178,share,U02669,S02886,community,C038,"{""device"": ""mobile"", ""duration_sec"": 226}",2024-12-27T16:23:45
E0000179,view,U00150,S01299,community,C160,"{""device"": ""desktop"", ""duration_sec"": 567}",2025-04-26T11:24:09
E0000180,view,U00123,S04742,post,P003276,"{""device"": ""tablet"", ""duration_sec"": 532}",2025-08-06T20:51:40
E0000181,view,U02891,S04365,post,P001970,"{""device"": ""tablet"", ""duration_sec"": 326}",2024-04-06T07:41:14
E0000182,comment,U00582,S04730,comment,CM0006100,"{""device"": ""tablet"", ""duration_sec"": 193}",2025-10-13T06:58:29
E0000183,join,U01636,S03029,post,P003513,"{""device"": ""tablet"", ""duration_sec"": 312}",2025-03-22T13:46:22
E0000184,click,U00644,S02163,post,P001015,"{""device"": ""mobile"", ""duration_sec"": 563}",2025-07-18T10:49:20
E0000185,join,U02586,S00295,post,P002141,"{""device"": ""mobile"", ""duration_sec"": 42}",2024-11-18T03:29:15
E0000186,view,U00210,S00028,community,C076,"{""device"": ""mobile"", ""duration_sec"": 539}",2024-12-23T17:50:34
E0000187,vote,U00678,S04988,community,C037,"{""device"": ""desktop"", ""duration_sec"": 315}",2025-01-26T17:32:39
E0000188,click,U00289,S01223,post,P002005,"{""device"": ""mobile"", ""duration_sec"": 1}",2024-03-05T11:39:49
E0000189,click,U01195,S02401,comment,CM0005174,"{""device"": ""desktop"", ""duration_sec"": 178}",2024-08-01T10:40:53
E0000190,view,U00851,S00441,post,P003014,"{""device"": ""tablet"", ""duration_sec"": 392}",2025-02-19T14:14:41
E0000191,click,U01226,S02352,post,P002230,"{""device"": ""tablet"", ""duration_sec"": 283}",2024-01-22T18:49:33
E0000192,click,U00878,S02468,post,P003773,"{""device"": ""desktop"", ""duration_sec"": 230}",2024-12-26T05:37:36
E0000193,vote,U02636,S02752,post,P002173,"{""device"": ""desktop"", ""duration_sec"": 538}",2025-08-05T00:07:34
E0000194,view,U01687,S01884,comment,CM0002611,"{""device"": ""desktop"", ""duration_sec"": 342}",2025-09-16T02:46:24
E0000195,vote,U02063,S02861,community,C187,"{""device"": ""desktop"", ""duration_sec"": 16}",2024-06-07T08:26:54
E0000196,view,U01419,S04668,post,P000170,"{""device"": ""mobile"", ""duration_sec"": 311}",2025-06-27T11:52:55
E0000197,view,U02264,S03823,community,C097,"{""device"": ""desktop"", ""duration_sec"": 98}",2024-10-11T14:11:54
E0000198,view,U01250,S01116,post,P001998,"{""device"": ""tablet"", ""duration_sec"": 185}",2025-07-17T03:37:59
E0000199,vote,U02857,S01549,comment,CM0000994,"{""device"": ""desktop"", ""duration_sec"": 211}",2024-02-05T03:47:26
E0000200,comment,U00479,S02300,post,P003474,"{""device"": ""mobile"", ""duration_sec"": 151}",2025-09-25T15:48:24
E0000201,click,U02472,S00548,comment,CM0000521,"{""device"": ""desktop"", ""duration_sec"": 443}",2024-05-05T13:42:40
E0000202,vote,U00644,S04182,post,P003655,"{""device"": ""mobile"", ""duration_sec"": 216}",2025-04-13T13:57:02
E0000203,click,U00884,S04471,post,P000780,"{""device"": ""tablet"", ""duration_sec"": 230}",2024-11-08T04:39:57
E0000204,comment,U00091,S02403,post,P001844,"{""device"": ""desktop"", ""duration_sec"": 199}",2025-09-22T22:45:01
E0000205,view,U01358,S03897,post,P000130,"{""device"": ""mobile"", ""duration_sec"": 506}",2024-10-21T15:42:01
E0000206,join,U02668,S01990,comment,CM0003024,"{""device"": ""tablet"", ""duration_sec"": 73}",2025-09-27T18:54:11
E0000207,vote,U01829,S01022,post,P001636,"{""device"": ""desktop"", ""duration_sec"": 92}",2024-08-04T12:23:26
E0000208,join,U00795,S04232,comment,CM0004259,"{""device"": ""mobile"", ""duration_sec"": 540}",2024-11-15T09:20:04
E0000209,vote,U00401,S02561,post,P003085,"{""device"": ""mobile"", ""duration_sec"": 281}",2025-03-11T20:09:28
E0000210,vote,U01873,S02477,post,P001455,"{""device"": ""tablet"", ""duration_sec"": 224}",2025-02-07T12:42:48
E0000211,view,U02683,S04113,comment,CM0004236,"{""device"": ""mobile"", ""duration_sec"": 197}",2025-03-04T23:43:39
E0000212,view,U00083,S04381,post,P000007,"{""device"": ""desktop"", ""duration_sec"": 551}",2024-08-05T08:28:21
E0000213,comment,U01614,S01795,post,P001027,"{""device"": ""tablet"", ""duration_sec"": 304}",2024-01-08T21:16:09
E0000214,view,U01817,S02736,post,P000842,"{""device"": ""desktop"", ""duration_sec"": 162}",2024-11-19T17:20:25
E0000215,share,U00098,S04336,community,C048,"{""device"": ""tablet"", ""duration_sec"": 283}",2025-09-28T09:10:58
E0000216,vote,U01614,S03612,post,P002266,"{""device"": ""desktop"", ""duration_sec"": 510}",2025-05-11T05:22:28
E0000217,click,U00054,S01060,post,P000889,"{""device"": ""desktop"", ""duration_sec"": 593}",2024-11-27T20:36:32
E0000218,view,U01143,S04840,post,P000772,"{""device"": ""tablet"", ""duration_sec"": 580}",2024-11-10T06:27:22
E0000219,view,U02755,S04820,post,P003997,"{""device"": ""tablet"", ""duration_sec"": 390}",2024-06-23T06:24:31
E0000220,view,U02139,S03990,comment,CM0003050,"{""device"": ""tablet"", ""duration_sec"": 577}",2025-01-10T03:29:01
E0000221,comment,U01678,S03990,post,P002324,"{""device"": ""tablet"", ""duration_sec"": 426}",2025-06-22T15:31:27
E0000222,comment,U00844,S00969,comment,CM0006313,"{""device"": ""mobile"", ""duration_sec"": 584}",2025-08-19T14:02:15
E0000223,view,U02624,S04747,post,P002567,"{""device"": ""mobile"", ""duration_sec"": 487}",2024-10-15T05:36:36
E0000224,view,U02230,S00418,post,P002306,"{""device"": ""mobile"", ""duration_sec"": 28}",2024-08-16T23:32:44
E0000225,comment,U01714,S02665,post,P003904,"{""device"": ""tablet"", ""duration_sec"": 422}",2025-09-12T20:46:00
E0000226,vote,U00922,S00647,comment,CM0003017,"{""device"": ""desktop"", ""duration_sec"": 282}",2024-07-26T18:23:27
E0000227,comment,U02119,S04306,post,P000531,"{""device"": ""tablet"", ""duration_sec"": 249}",2024-04-09T05:54:57
E0000228,join,U01061,S01680,post,P000031,"{""device"": ""desktop"", ""duration_sec"": 521}",2025-02-27T12:03:06
E0000229,view,U00230,S02819,comment,CM0003615,"{""device"": ""desktop"", ""duration_sec"": 450}",2025-06-30T11:02:48
